pair_id,target,role,function,event_week,amplitude,energy,temporal_dispersion,sign_change_rate,peak_spacing,persistence,amplification,delta2_energy,flicker_density
1,positive_event,event,1,10,1.0,0.39999546560961163,0.499999999967917,0.25,5.0,0.4,-3.4594241847776694,1.2499885593219748,0.0
1,positive_event,matched non-event,1,9,1.999988873299602,1.199986564274054,0.7637650591104241,0.5,1.0,0.4,-3.999988362745972,3.4999548653371533,0.2
2,positive_event,event,1,11,1.0,0.20000000000000875,2.0933985559835265e-07,0.0,5.0,0.4,-2.5849627523991106,0.24999989533009415,0.0
2,positive_event,matched non-event,1,12,1.333338557672689,0.3555583418753413,4.186796235503887e-07,0.0,5.0,0.4,2.938603364130769,0.4444479273441766,0.0
3,positive_event,event,2,8,1.3583722146085448,1.1964000389722427,1.4276007193284148,1.0,1.0,0.2,-0.06364724976256612,4.70969455563669,0.0
3,positive_event,matched non-event,2,7,1.408294741586397,0.9923291404507275,1.0679066347192316,0.75,1.0,0.4,0.6753592889021596,3.922307438795856,0.0
4,positive_event,event,2,10,1.178590266104118,0.9349955169422804,1.0996464463275015,1.0,1.0,0.2,-0.30404616454204747,4.061694372630903,0.0
4,positive_event,matched non-event,2,9,1.3118679144664076,1.1952806300836285,1.5260103100063485,1.0,1.0,0.2,0.07037714349836315,4.414645610604849,0.0
5,positive_event,event,2,11,1.2219054957021944,0.8539949724505114,0.8921260794354229,1.0,1.0,0.2,-1.7105972156760512,3.476062027668375,0.0
5,positive_event,matched non-event,2,9,1.3118679144664076,1.1952806300836285,1.5260103100063485,1.0,1.0,0.2,0.07037714349836315,4.414645610604849,0.0
6,positive_event,event,2,12,1.289611571810254,0.7032547004257287,0.7387787898477117,0.75,1.0,0.4,-2.120750542894115,2.4047857372076846,0.0
6,positive_event,matched non-event,2,13,1.3489020884884704,0.49045503844375615,1.4745996334651272,0.5,1.0,0.6,-0.9062318341273009,0.8918311964183127,0.0
7,positive_event,event,3,7,3.6094957370192,3.194360955373066,0.8299950686030799,0.5,2.0,0.4,2.4382381794522123,3.434325461374429,0.2
