function,order,end_week,delta
1,1,2,-2.68162723801144e-17
1,1,3,1.0
1,1,4,-0.9999942273111578
1,1,5,0.49999422731115983
1,1,6,-0.4999998953300961
1,1,7,-1.0466990588759834e-07
1,1,8,0.0
1,1,9,0.0
1,1,10,1.1326884255008648e-21
1,1,11,1.0
1,1,12,0.0
1,1,13,0.0
1,2,3,1.0
1,2,4,-1.999994227311158
1,2,5,1.4999884546223177
1,2,6,-0.9999941226412559
1,2,7,0.4999997906601902
1,2,8,1.0466990588759834e-07
1,2,9,0.0
1,2,10,1.1326884255008648e-21
1,2,11,1.0
1,2,12,-1.0
1,2,13,0.0
1,3,4,-2.999994227311158
1,3,5,3.4999826819334756
1,3,6,-2.4999825772635735
1,3,7,1.499993913301446
1,3,8,-0.49999968599028427
1,3,9,-1.0466990588759834e-07
1,3,10,1.1326884255008648e-21
1,3,11,1.0
1,3,12,-2.0
1,3,13,1.0
1,4,5,6.499976909244634
1,4,6,-5.999965259197049
1,4,7,3.9999764905650195
1,4,8,-1.9999935992917302
1,4,9,0.49999958132037836
1,4,10,1.0466990588759948e-07
1,4,11,1.0
1,4,12,-3.0
1,4,13,3.0
1,5,6,-12.499942168441683
1,5,7,9.999941749762069
1,5,8,-5.99997008985675
1,5,9,2.4999931806121083
1,5,10,-0.49999947665047245
1,5,11,0.9999998953300941
1,5,12,-4.0
1,5,13,6.0
1,6,7,22.49988391820375
1,6,8,-15.999911839618818
1,6,9,8.499963270468857
1,6,10,-2.9999926572625806
1,6,11,1.4999993719805667
1,6,12,-4.999999895330094
1,6,13,10.0
1,7,8,-38.49979575782257
1,7,9,24.499875110087675
1,7,10,-11.499955927731438
1,7,11,4.499992029243147
1,7,12,-6.4999992673106615
1,7,13,14.999999895330095
1,8,9,62.99967086791024
1,8,10,-35.99983103781911
1,8,11,15.999947956974585
1,8,12,-10.999991296553809
1,8,13,21.499999162640755
1,9,10,-98.99950190572935
1,9,11,51.9997789947937
1,9,12,-26.999939253528396
1,9,13,32.499990459194564
1,10,11,150.99928090052305
1,10,12,-78.9997182483221
1,10,13,59.49992971272296
2,1,2,-0.07223961858765426
2,1,3,-0.45760680499608597
2,1,4,0.6444452571901396
2,1,5,-0.409557048241593
2,1,6,0.49124248720745856
2,1,7,-0.5591522698954399
2,1,8,0.5524523577282581
2,1,9,-0.15914478118590258
2,1,10,0.09822756038598845
2,1,11,0.09058272731364803
2,1,12,0.2509037094974428
2,1,13,-0.1555719370165478
2,2,3,-0.3853671864084317
2,2,4,1.1020520621862255
2,2,5,-1.0540023054317325
2,2,6,0.9007995354490516
2,2,7,-1.0503947571028984
2,2,8,1.111604627623698
2,2,9,-0.7115971389141607
2,2,10,0.25737234157189104
2,2,11,-0.007644833072340429
2,2,12,0.16032098218379476
2,2,13,-0.4064756465139906
2,3,4,1.4874192485946574
2,3,5,-2.156054367617958
2,3,6,1.954801840880784
2,3,7,-1.9511942925519499
2,3,8,2.161999384726596
2,3,9,-1.8232017665378586
2,3,10,0.9689694804860517
2,3,11,-0.26501717464423147
2,3,12,0.1679658152561352
2,3,13,-0.5667966286977854
2,4,5,-3.6434736162126153
2,4,6,4.110856208498742
2,4,7,-3.9059961334327338
