seed,task,z3_available,hypothesis_available,correction_cycles,self_corrected,first_counterexample,runtime_failures_final,fuzz_failures_final,invariant_failures_final,proof_status_final,final_status,released_deterministic_violation,runtime_ms_final_cycle,fuzz_ms_final_cycle,invariant_ms_final_cycle,proof_ms_final_cycle,total_verification_ms,homeostasis_restored,electrical_energy_measured,direct_cost_measured,A_DMIC_milieu_interior_preserved
2101,absolute_value,False,False,2,True,"[-78.36587846217064, null, -78.36587846217064, 78.36587846217064]",0,0,0,UNAVAILABLE,RUNTIME_VERIFIED_ONLY,False,0.07112200000847224,7.858063000639959,4.608946000189462,0.003400999958103057,159.70367799945961,True,False,False,True
2101,safe_divide,False,False,2,True,"[-67, 0, ""ZeroDivisionError"", ""no exception""]",0,0,0,UNAVAILABLE,RUNTIME_VERIFIED_ONLY,False,0.14529300005960977,18.61965600073745,6.28051100011362,0.0038629996197414584,173.40573599994968,True,False,False,True
2101,bounded_clamp,False,False,2,True,"[-97.24102864370776, null, -97.24102864370776, 0.0]",0,0,0,UNAVAILABLE,RUNTIME_VERIFIED_ONLY,False,0.07000499954301631,8.171794000190857,4.533409000032407,0.0017960001059691422,159.13820799960376,True,False,False,True
2101,monotonic_increment,False,False,2,True,"[-83.52382711316079, null, -83.52382711316079, -82.52382711316079]",0,0,0,UNAVAILABLE,RUNTIME_VERIFIED_ONLY,False,0.06701799975417089,7.826958999430644,4.454531999726896,0.0011559995982679538,159.9896819998321,True,False,False,True
2101,probability_normalisation,False,False,3,True,"[-1.9523435435225038, -1.8874112313544553, [-1.9523435435225038, -1.8874112313544553], [0.5, 0.5]]",0,0,1,UNAVAILABLE,FAILED,False,0.7335749996855156,75.22981000056461,0.10963900058413856,0.0033930000427062623,297.09078399991995,True,False,False,True
2111,absolute_value,False,False,2,True,"[-28.853670681395684, null, -28.853670681395684, 28.853670681395684]",0,0,0,UNAVAILABLE,RUNTIME_VERIFIED_ONLY,False,0.06628400024055736,8.027042999856349,4.477438999856531,0.0028149997888249345,153.0070099997829,True,False,False,True
2111,safe_divide,False,False,2,True,"[44, 0, ""ZeroDivisionError"", ""no exception""]",0,0,0,UNAVAILABLE,RUNTIME_VERIFIED_ONLY,False,0.10138200013898313,14.058192999982566,5.403037000178301,0.0018250002540298738,167.68615399996634,True,False,False,True
2111,bounded_clamp,False,False,2,True,"[-40.65160041418174, null, -40.65160041418174, 0.0]",0,0,0,UNAVAILABLE,RUNTIME_VERIFIED_ONLY,False,0.07085900051606586,8.794612999736273,4.888154999207472,0.00437299968325533,153.64807400055724,True,False,False,True
2111,monotonic_increment,False,False,2,True,"[-63.579176777031535, null, -63.579176777031535, -62.579176777031535]",0,0,0,UNAVAILABLE,RUNTIME_VERIFIED_ONLY,False,0.06744300026184646,7.863290999921446,4.4879480001327465,0.0013429998944047838,160.4663050002273,True,False,False,True
2111,probability_normalisation,False,False,3,True,"[-1.8992985162145515, 2.1468147651343523, [-1.8992985162145515, 2.1468147651343523], [-7.673429621301162, 8.673429621301162]]",0,0,1,UNAVAILABLE,FAILED,False,0.7321009998122463,72.41555000018707,0.1241589998244308,0.004679000085161533,289.4391320005525,True,False,False,True
2129,absolute_value,False,False,2,True,"[-50.58121658937866, null, -50.58121658937866, 50.58121658937866]",0,0,0,UNAVAILABLE,RUNTIME_VERIFIED_ONLY,False,0.06503900021925801,8.161886000380036,4.41962000058993,0.0035950006349594332,180.4850799999258,True,False,False,True
2129,safe_divide,False,False,2,True,"[-1000000000000.0, 0.0, ""ZeroDivisionError"", ""no exception""]",0,0,0,UNAVAILABLE,RUNTIME_VERIFIED_ONLY,False,0.10681500043574488,14.6352689998821,7.358402999670943,0.004460999662114773,174.2445250001765,True,False,False,True
2129,bounded_clamp,False,False,2,True,"[-52.541138700275994, null, -52.541138700275994, 0.0]",0,0,0,UNAVAILABLE,RUNTIME_VERIFIED_ONLY,False,0.0698020003255806,8.078450999164488,4.632948000107717,0.001907000296341721,173.12581799978943,True,False,False,True
2129,monotonic_increment,False,False,2,True,"[42.438236602663636, null, 42.438236602663636, 43.438236602663636]",0,0,0,UNAVAILABLE,RUNTIME_VERIFIED_ONLY,False,0.07315099992410978,7.9343719999087625,4.769434000081674,0.004248999175615609,213.82628599985765,True,False,False,True
2129,probability_normalisation,False,False,3,True,"[-0.05984587948587361, 2.2462151876556744, [-0.05984587948587361, 2.2462151876556744], [-0.027372264723186362, 1.0273722647231864]]",0,0,1,UNAVAILABLE,FAILED,False,0.7478089992218884,74.0216820004207,0.07135500072763534,0.0063220004449249245,354.0038569999524,True,False,False,True
2141,absolute_value,False,False,2,True,"[-73.03805686843361, null, -73.03805686843361, 73.03805686843361]",0,0,0,UNAVAILABLE,RUNTIME_VERIFIED_ONLY,False,0.06287700034590671,8.204438000575465,4.444239999429556,0.0053760004448122345,203.89234899994335,True,False,False,True
2141,safe_divide,False,False,2,True,"[-1000000000000.0, 0.0, ""ZeroDivisionError"", ""no exception""]",0,0,0,UNAVAILABLE,RUNTIME_VERIFIED_ONLY,False,0.11877799988724291,15.799119999428513,5.508530000042811,0.006381999810400885,232.89960799957043,True,False,False,True
2141,bounded_clamp,False,False,2,True,"[97.39593742700086, null, 97.39593742700086, 1.0]",0,0,0,UNAVAILABLE,RUNTIME_VERIFIED_ONLY,False,0.10448000011820113,10.215354000138177,4.603536999638891,0.0033910000638570637,208.26077299989265,True,False,False,True
